DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00011,Interferon alfa-n1,74899-72-2,BiotechDrug,,,,,,PA164746538,,P01563,IFNA2_HUMAN,J00207,7651,,,,,,,,DAP001280
DB00012,Darbepoetin alfa,209810-58-2,BiotechDrug,,,,,,PA164743138,,P01588,EPO_HUMAN,X02158,12550,http://www.rxlist.com/cgi/generic/aranesp.htm,,Darbepoetin_alfa,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html,,,,DAP000800
DB00013,Urokinase,9039-53-6,BiotechDrug,,,,,,PA451836,,P00749,UROK_HUMAN,X02419,2012,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE,,Urokinase,http://www.drugs.com/mtm/urokinase.html,,,,DAP001194
DB00014,Goserelin,65807-02-5,SmallMoleculeDrug,,D00573,5311128,46507336,5523,PA164747674,,,,,11167,http://www.rxlist.com/cgi/generic/goserel.htm,,Goserelin,http://www.drugs.com/cdi/goserelin.html,,4470656,,DAP000023
DB00015,Reteplase,133652-38-7,BiotechDrug,,,,,,PA164743728,,P00750,TPA_HUMAN,L00153,11534,http://www.rxlist.com/cgi/generic2/reteplase.htm,,Reteplase,http://www.drugs.com/cdi/reteplase.html,,,,DAP001195
DB00016,Erythropoietin,11096-26-7,BiotechDrug,,,,,,PA10072,,P01588,EPO_HUMAN,X02158,299,http://www.rxlist.com/cgi/generic/epoetin.htm,,Epoetin_alfa,http://www.drugs.com/cdi/epoetin-alfa.html,,,,DAP000202
DB00017,Salmon Calcitonin,47931-85-1,BiotechDrug,C06865,D00249,,,,PA448715,,P01263,CALC1_ONCKE,Y00765,13186,http://www.rxlist.com/cgi/generic2/calcit.htm,,Calcitonin,,,,,DAP001302
DB00018,Interferon alfa-n3,"",BiotechDrug,,,,,,PA164746228,,,,,"",,,,http://www.drugs.com/cdi/interferon-alfa-n3-solution.html,,,,DAP001281
DB00019,Pegfilgrastim,208265-92-3,BiotechDrug,,D06889,,,,PA164781387,,P09919,CSF3_HUMAN,X03438,12313,http://www.rxlist.com/cgi/generic3/neulasta.htm,,Pegfilgrastim,http://www.drugs.com/cdi/pegfilgrastim.html,,,,DAP000395
DB00020,Sargramostim,123774-72-1,BiotechDrug,,,,,,PA164748631,,P04141,CSF2_HUMAN,M13207,"",http://www.rxlist.com/cgi/generic/sargramostim.htm,,Sargramostim,http://www.drugs.com/cdi/sargramostim.html,,,,DAP001053
DB00021,Secretin,"",BiotechDrug,,,,,,PA164760844,,,,,2067,http://www.rxlist.com/cgi/generic3/secretin.htm,,Secretin,http://www.drugs.com/human_secretin.html,,,,DAP001296
DB00022,Peginterferon alfa-2b,215647-85-1,BiotechDrug,,,,,,PA164784024,,P01563,IFNA2_HUMAN,,12036,http://www.rxlist.com/cgi/generic2/peginterferon.htm,,Peginterferon_alfa-2b,http://www.drugs.com/cdi/peginterferon-alfa-2b.html,,,,DAP001279
DB00023,Asparaginase,9015-68-3,BiotechDrug,,,,,,PA448492,,P37595,ASGX_ECOLI,U00096,2433,http://www.rxlist.com/cgi/generic3/asparaginase.htm,,Asparaginase,http://www.drugs.com/cdi/asparaginase.html,,,,
DB00024,Thyrotropin Alfa,194100-83-9,BiotechDrug,,,,,,PA164746560,,P01225,FSHB_HUMAN,M16647,12790,http://www.rxlist.com/cgi/generic2/thyrotropin.htm,,,http://www.drugs.com/cdi/thyrotropin-alfa.html,,,,DAP001248
DB00025,"Antihemophilic factor, human recombinant",139076-62-3,BiotechDrug,,,,,,PA164750168,,P00451,FA8_HUMAN,M14113,745; 9847; 12787; 22826,http://www.rxlist.com/cgi/generic2/hemofilm.htm,,Antihemophilic_Factor,http://www.drugs.com/cdi/antihemophilic-factor-human.html,,,,
DB00026,Anakinra,143090-92-0,BiotechDrug,,D02934,,,,PA10799,,P18510,IL1RA_HUMAN,M55646,12604,http://www.rxlist.com/cgi/generic/anakinra.htm,,Anakinra,http://www.drugs.com/cdi/anakinra.html,,,,DAP000095
DB00027,Gramicidin D,1405-97-6,BiotechDrug,,D04369,,,,PA449808,,,,,8523,,,Gramicidin_D,,,,,DAP001327
DB00028,Immune Globulin Human,9007-83-4,BiotechDrug,,,,,,PA164754884,,P01877,IGHA2_HUMAN,J00221,7773; 15161,http://www.rxlist.com/cgi/generic2/baygam.htm,,,http://www.drugs.com/cdi/immune-globulin-human.html,,,,
DB00029,Anistreplase,81669-57-0,BiotechDrug,,,,,,PA164769075,,P00750,TPA_HUMAN,L00153,1199,,,Anistreplase,,,,,DAP001197
DB00030,Insulin Human,11061-68-0,BiotechDrug,C00723,D03230,,,5931,PA164744571,,Q8HXV2,INS_PONPY,AY137503,20125; 7672,http://www.rxlist.com/cgi/generic3/novolog.htm,,Insulin,http://www.drugs.com/pro/humulin-r.html,,,,DAP000802
DB00031,Tenecteplase,191588-94-0,BiotechDrug,,D06070,,,,PA164776757,,P00750,TPA_HUMAN,L00153,12468,http://www.rxlist.com/cgi/generic2/tenecteplase.htm,,Tenecteplase,http://www.drugs.com/mtm/tenecteplase.html,,,,DAP000204
DB00032,Menotropins,9002-68-0,BiotechDrug,,,,,,PA164749406,,P01229,LSHB_HUMAN,X00264,7369,http://www.rxlist.com/cgi/generic/menotropins.htm,,Menotropins,http://www.drugs.com/cdi/menotropins.html,,,,DAP001027
DB00033,Interferon gamma-1b,98059-61-1,BiotechDrug,,,,,,PA164746386,,P01579,IFNG_HUMAN,X13274,"",,,Interferon_gamma-1b,http://www.drugs.com/cdi/interferon-gamma-1b.html,,,,DAP001286
DB00034,"Interferon Alfa-2a, Recombinant",76543-88-9,BiotechDrug,,,,,,PA164779048,,P01563,IFNA2_HUMAN,J00207,1746,http://www.rxlist.com/cgi/generic3/roferon.htm,,,http://www.drugs.com/cdi/interferon-alfa-2a-solution.html,,,,DAP000801
DB00035,Desmopressin,16679-58-6,SmallMoleculeDrug,C06944,D00291,16051933,46507014,4450,PA449237,,,,,2155; 19910; 20181,http://www.rxlist.com/cgi/generic3/desmoprt.htm,,Desmopressin,http://www.drugs.com/cdi/desmopressin.html,,10481973,50205291,DNC000526
DB00036,Coagulation factor VIIa Recombinant Human,102786-61-8,BiotechDrug,C03378,D00172,,,,PA164748389,,P08709,FA7_HUMAN,M13232,13301,http://www.rxlist.com/cgi/generic3/novoseven.htm,,Factor_VII,http://www.drugs.com/cdi/coagulation-factor-viia-recombinant.html,,,,
DB00038,Oprelvekin,145941-26-0,BiotechDrug,,,,,,PA164747991,,P20809,IL11_HUMAN,M57765,"",http://www.rxlist.com/cgi/generic3/oprelvek.htm,,Oprelvekin,http://www.drugs.com/cdi/oprelvekin.html,,,,DAP001287
DB00039,Palifermin,162394-19-6,BiotechDrug,,,,,,PA164744014,,P21781,FGF7_HUMAN,M60828,17147,http://www.rxlist.com/cgi/generic/kepivance.htm,,Palifermin,http://www.drugs.com/cdi/palifermin.html,,,,DAP001026
DB00040,Glucagon recombinant,16941-32-5,BiotechDrug,C01501,D00116,,,,PA164779052,,Q8MJ25,GLUC_SHEEP,AF529185,12072; 11363,http://www.rxlist.com/cgi/generic2/gluca.htm,,Glucagon_recombinant,http://www.drugs.com/cdi/glucagon.html,,,,DAP001037
DB00041,Aldesleukin,110942-02-4,BiotechDrug,,,,,,PA448081,,P60569,IL2_HYLLA,M11144,278,http://www.rxlist.com/cgi/generic2/aldesleukin.htm,,Aldesleukin,http://www.drugs.com/cdi/aldesleukin.html,,,,DAP001099
DB00042,Botulinum Toxin Type B,93384-44-2,BiotechDrug,,D02735,,,,PA164747061,,P10844,BXB_CLOBO,M81186,12854,http://www.rxlist.com/cgi/generic/botulinumtoxin.htm,,Botulinum_toxin,http://www.drugs.com/cdi/botulinum-toxin-type-b.html,,,,DAP001272
DB00043,Omalizumab,242138-07-4,BiotechDrug,,,,,,PA164752253,,P01857,IGHG1_HUMAN,J00228,13365,http://www.rxlist.com/cgi/generic/xolair.htm,,Omalizumab,http://www.drugs.com/cdi/omalizumab.html,,,,DAP000387
DB00044,Lutropin alfa,152923-57-4,BiotechDrug,,,,,,PA164750539,,P01229,LSHB_HUMAN,X00264,15875; 7347,,,Lutropin_alfa,http://www.drugs.com/cdi/lutropin-alfa.html,,,,DAP001103
DB00045,OspA lipoprotein,"",BiotechDrug,,,,,,PA164743058,,P14013,OSPA1_BORBU,X16467,"",,,,,,,,DAP001334
DB00046,Insulin Lispro,133107-64-9,BiotechDrug,,D04477,,,,PA164747059,,,,,11115; 12028,http://www.rxlist.com/cgi/generic/insulinlispro.htm,,Insulin_lispro,http://www.drugs.com/mtm/insulin-lispro.html,,,,DNC000800
DB00047,Insulin Glargine,160337-95-1,BiotechDrug,,D03250,,,,PA449992,,,,,12724,http://www.rxlist.com/cgi/generic2/lantus.htm,,Insulin_glargine,http://www.drugs.com/cdi/insulin-glargine-cartridge-systems.html,,,,DAP001088
DB00048,Collagenase clostridium histolyticum,9001-12-1,BiotechDrug,C00816,,,,,PA449107,,,,,21378,http://www.rxlist.com/cgi/generic3/collagenase.htm,,Collagenase,http://www.drugs.com/cdi/collagenase-ointment.html,,,,DAP000965
DB00049,Rasburicase,134774-45-1,BiotechDrug,,,,,,PA10176,,Q00511,URIC_ASPFL,X61766,13268,http://www.rxlist.com/cgi/generic3/elitek.htm,,Rasburicase,http://www.drugs.com/cdi/rasburicase.html,,,,
DB00050,Cetrorelix,120287-85-6,SmallMoleculeDrug,,D01685,25074887,46505494,59224,PA164764506,,,,,13224,http://www.rxlist.com/cgi/generic2/cetrorelix.htm,,Cetrorelix,http://www.drugs.com/cdi/cetrorelix-acetate.html,,10482082,50369965,DAP000096
DB00051,Adalimumab,331731-18-1,BiotechDrug,,,,,,PA10004,,P01857,IGHG1_HUMAN,J00228,13356,http://www.rxlist.com/cgi/generic3/humira.htm,,Adalimumab,http://www.drugs.com/cdi/adalimumab.html,,,,DAP000392
DB00052,Somatotropin,12629-01-5,BiotechDrug,,,,,,PA451446,,P58756,SOMA_PANTR,AF374232,7364,http://www.rxlist.com/cgi/generic3/nutropin.htm,,Somatropin_recombinant,http://www.drugs.com/cdi/somatropin-rdna-origin-nonrefrigerated.html,,,,DAP001054
DB00053,Imiglucerase,154248-97-2,BiotechDrug,,D02810,,,,PA164742934,,P04062,GLCM_HUMAN,M16328,11365,http://www.rxlist.com/cgi/generic2/imiglucerase.htm,,Imiglucerase,http://www.drugs.com/cdi/imiglucerase.html,,,,
DB00054,Abciximab,143653-53-6,BiotechDrug,,D02778,,,,PA448006,,,,,61,http://www.rxlist.com/reopro-drug.htm,,Abciximab,http://www.drugs.com/cdi/abciximab.html,,,,DAP000473
DB00055,Drotrecogin alfa,98530-76-8,BiotechDrug,,,,,,PA131548935,,P04070,PROC_HUMAN,M11228,12084,http://www.rxlist.com/cgi/generic/drotrecogin.htm,,Drotrecogin_alfa,http://www.drugs.com/cdi/drotrecogin-alfa.html,,,,DAP000151
DB00056,Gemtuzumab ozogamicin,220578-59-6,BiotechDrug,,,,,,PA164749431,,,,,"",http://www.rxlist.com/cgi/generic2/gemtuzumab.htm,,Gemtuzumab_ozogamicin,http://www.drugs.com/cdi/gemtuzumab-ozogamicin.html,,,,DAP000390
DB00057,Indium In-111 satumomab pendetide,138955-27-8,BiotechDrug,,,,,,PA164745371,,,,,"",,,,,,,,DAP001299
DB00058,Alpha-1-proteinase inhibitor,9041-92-3,BiotechDrug,,,,,,PA10308,,P01009,A1AT_HUMAN,K01396,7762,http://www.rxlist.com/cgi/generic3/zemaira.htm,,Alpha_1-antitrypsin,,,,,DAP001102
DB00059,Pegaspargase,130167-69-0,BiotechDrug,,,,,,PA164760860,,P37595,ASGX_ECOLI,U00096,11706,http://www.rxlist.com/cgi/generic2/pegaspargase.htm,,Pegaspargase,http://www.drugs.com/cdi/pegaspargase.html,,,,
DB00060,Interferon beta-1a,145258-61-3,BiotechDrug,,,,,,PA450037,,P01574,IFNB_HUMAN,V00534,11746,http://www.rxlist.com/cgi/generic3/rebif.htm,,Interferon_beta-1a,http://www.drugs.com/cdi/interferon-beta-1a.html,,,,DAP001282
DB00061,Pegademase bovine,9026-93-1,BiotechDrug,,,,,,PA450831,,P56658,ADA_BOVIN,AF280603,"",http://www.rxlist.com/cgi/generic2/pegademase.htm,,,http://www.drugs.com/cdi/pegademase-bovine.html,,,,
DB00062,Human Serum Albumin,9048-46-8,BiotechDrug,,,,,,PA164743293,,P02768,ALBU_HUMAN,M12523,7867; 3275,http://www.rxlist.com/cgi/generic3/albumin.htm,,Serum_albumin,,,,,
DB00063,Eptifibatide,188627-80-7,BiotechDrug,,,,,,PA449483,,,,,11891,http://www.rxlist.com/cgi/generic/eptifibatide.htm,,Eptifibatide,http://www.drugs.com/cdi/eptifibatide.html,,,,DAP000285
DB00065,Infliximab,170277-31-3,BiotechDrug,,,,,,PA452639,,P01857,IGHG1_HUMAN,J00228,12094,http://www.rxlist.com/cgi/generic3/infliximab.htm,,Infliximab,http://www.drugs.com/cdi/infliximab.html,,,,DAP000107
DB00066,Follitropin,146479-72-3,BiotechDrug,,,,,,PA449693,,P01225,FSHB_HUMAN,M16647,11463; 11457,http://www.rxlist.com/cgi/generic3/follitrop.htm,,Follicle-stimulating_hormone,http://www.drugs.com/cdi/follitropin-alfa-powder.html,,,,DAP001028
DB00067,Vasopressin,11000-17-2,SmallMoleculeDrug,C00840,D00101,,,,PA451858,,,,,7387,http://www.rxlist.com/cgi/generic3/vasopressin.htm,,Vasopressin,http://www.drugs.com/mtm/vasopressin.html,,,,DAP000018
DB00068,Interferon beta-1b,145155-23-3,BiotechDrug,C07901,D00746,,,,PA450039,,P01574,IFNB_HUMAN,V00534,172,http://www.rxlist.com/cgi/generic/interferon_beta.htm,,Interferon_beta-1b,http://www.drugs.com/cdi/interferon-beta-1b-solution.html,,,,DAP001283
DB00069,Interferon alfacon-1,118390-30-0,BiotechDrug,,,,,,PA164749376,,,,J00207,11856,http://www.rxlist.com/cgi/generic2/infergen.htm,,,http://www.drugs.com/cdi/interferon-alfacon-1.html,,,,DAP001284
DB00070,Hyaluronidase,488712-31-8,BiotechDrug,,,,,,PA164745713,,P38567,HYAL1_HUMAN,L13781,6039,http://www.rxlist.com/cgi/generic/hylenex.htm,,Hyaluronidase,http://www.drugs.com/cdi/hyaluronidase.html,,,,
DB00071,Insulin Pork,12584-58-6,BiotechDrug,,,,,,PA164781053,,Q8HXV2,INS_PONPY,AY137503,"",,,,,,,,DAP001089
DB00072,Trastuzumab,180288-69-1,BiotechDrug,,D03257,,,,PA451743,,P01857,IGHG1_HUMAN,J00228,11905,http://www.rxlist.com/cgi/generic/trastuz.htm,,Trastuzumab,http://www.drugs.com/cdi/trastuzumab.html,,,,DAP000391
DB00073,Rituximab,174722-31-7,BiotechDrug,,,,,,PA451261,,P01857,IGHG1_HUMAN,J00228,11982,http://www.rxlist.com/cgi/generic/ritux.htm,,Rituximab,http://www.drugs.com/cdi/rituximab.html,,,,DAP000382
DB00074,Basiliximab,179045-86-4,BiotechDrug,,,,,,PA164747126,,P01857,IGHG1_HUMAN,J00228,12027,http://www.rxlist.com/cgi/generic2/basiliximab.htm,,Basiliximab,http://www.drugs.com/cdi/basiliximab.html,,,,DAP000388
DB00075,Muromonab,140608-64-6,BiotechDrug,,D05092,,,,PA164743097,,,,,7680,,,Muromonab,,,,,DAP001301
DB00076,Digoxin Immune Fab (Ovine),,BiotechDrug,,,,,,PA164769030,,,,,7676,http://www.rxlist.com/cgi/generic3/digoxinfab.htm,,Digoxin_Immune_Fab,http://www.drugs.com/cdi/digoxin-immune-fab.html,,,,
DB00078,Ibritumomab tiuxetan,206181-63-7,BiotechDrug,,,,,,PA164781375,,P01865,GCAM_MOUSE,J00470,12697,http://www.rxlist.com/cgi/generic3/zevalin.htm,,Ibritumomab,http://www.drugs.com/cdi/ibritumomab-tiuxetan-with-indium-111.html,,,,DAP000383
DB00080,Daptomycin,103060-53-3,SmallMoleculeDrug,C12013,D01080,,,600103,PA164768820,,,,,20161,http://www.rxlist.com/cgi/generic3/cubicin.htm,,Daptomycin,http://www.drugs.com/cdi/daptomycin.html,,10482098,,DAP001328
DB00081,Tositumomab,208921-02-2,BiotechDrug,,,,,,PA164748364,,P01857,IGHG1_HUMAN,J00228,16096,http://www.rxlist.com/cgi/generic3/bexxar.htm,,Tositumomab,http://www.drugs.com/cdi/iodine-i-131-tositumomab.html,,,,DAP000384
DB00082,Pegvisomant,218620-50-9,BiotechDrug,,,,,,PA164749630,,P58756,SOMA_PANTR,AF374232,16581,http://www.rxlist.com/cgi/generic3/somavert.htm,,,http://www.drugs.com/cdi/pegvisomant.html,,,,DAP000286
DB00083,Botulinum Toxin Type A,93384-43-1,BiotechDrug,C07946,D00783,,,,PA164754825,,P10845,BXA1_CLOBO,X52066,17056; 21616; 21617,http://www.rxlist.com/cgi/generic/botox.htm,,Botox,,,,,DAP001298
DB00085,Pancrelipase,53608-75-6,BiotechDrug,,D05349,,,,PA448428,,P04746,AMYP_HUMAN,M18785,3173; 9754,http://www.rxlist.com/cgi/generic2/pancrel.htm,,Pancrelipase,http://www.drugs.com/cdi/amylase-lipase-protease.html,,,,
DB00086,Streptokinase,9002-01-1,BiotechDrug,,,,,,PA164754919,,P00779,STRP_STREQ,K02986,5991,http://www.rxlist.com/cgi/generic2/streptokinase.htm,,Streptokinase,http://www.drugs.com/cons/streptokinase-intravenous-intracoronary.html,,,,DAP001198
DB00087,Alemtuzumab,216503-57-0,BiotechDrug,,,,,,PA164783958,,,,,12491,http://www.rxlist.com/cgi/generic/campath.htm,,Alemtuzumab,http://www.drugs.com/cdi/alemtuzumab.html,,,,DAP000385
DB00088,Alglucerase,143003-46-7,BiotechDrug,,,,,,PA164748093,,P04062,GLCM_HUMAN,M16328,"",http://www.rxlist.com/cgi/generic3/ceredase.htm,,Alglucerase,http://www.drugs.com/cdi/alglucerase.html,,,,
DB00089,Capromab pendetide,145464-28-4,BiotechDrug,,,,,,PA164745489,,,,,20500,,,Indium_(111In)_capromab_pendetide,,,,,DAP001049
DB00090,Laronidase,210589-09-6,BiotechDrug,,,,,,PA164776670,,P35475,IDUA_HUMAN,M74715,13106,http://www.rxlist.com/cgi/generic3/aldurazyme.htm,,Laronidase,http://www.drugs.com/cdi/laronidase.html,,,,
DB00091,Cyclosporine,59865-13-3,SmallMoleculeDrug,C05086,D00184,,,4031,PA449167,,,,,11396; 1915; 13144,http://www.rxlist.com/cgi/generic/cyclosporine.htm,,Cyclosporine,http://www.drugs.com/cdi/cyclosporine-drops.html,,4447449,50022815,DNC001177
DB00092,Alefacept,222535-22-0,BiotechDrug,,,,,,PA164748040,,,,,12559,http://www.rxlist.com/cgi/generic3/amevive.htm,,Alefacept,http://www.drugs.com/cdi/alefacept.html,,,,DAP000540
DB00093,Felypressin,56-59-7,SmallMoleculeDrug,,,,,60564,PA164744374,,,,,"",,,Felypressin,,,16736539,,DAP000217
DB00094,Urofollitropin,97048-13-0,BiotechDrug,,,,,,PA451835,,P01225,FSHB_HUMAN,M16647,7649; 306,http://www.rxlist.com/cgi/generic3/urofollitropin.htm,,Urofollitropin,http://www.drugs.com/cdi/urofollitropin-purified.html,,,,DAP001029
DB00095,Efalizumab,214745-43-4,BiotechDrug,,,,,,PA164748817,,,,,13093,http://www.rxlist.com/cgi/generic3/raptiva.htm,,Efalizumab,http://www.drugs.com/cdi/efalizumab.html,,,,DAP001095
DB00097,Choriogonadotropin alfa,177073-44-8,BiotechDrug,,,,,,PA164783947,,P01233,CGHB_HUMAN,J00117,12389,http://www.rxlist.com/cgi/generic/ovidrel.htm,,Choriogonadotropin_alfa,http://www.drugs.com/cdi/choriogonadotropin-alfa.html,,,,DAP001030
DB00098,Antithymocyte immunoglobulin (rabbit),,BiotechDrug,,,,,,PA164743704,,,,,12118,,,Anti-thymocyte_globulin,,,,,DAP001300
DB00099,Filgrastim,121181-53-1,BiotechDrug,,D03235,,,,PA449626,,P09919,CSF3_HUMAN,X03438,7657,http://www.rxlist.com/cgi/generic/filgrastim.htm,,Filgrastim,http://www.drugs.com/cdi/filgrastim.html,,,,DAP000113
DB00100,Coagulation Factor IX (Recombinant),181054-95-5,BiotechDrug,C03101,,,,,PA164744952,,P00740,FA9_HUMAN,K02402,90; 11417,http://www.rxlist.com/cgi/generic2/factorix.htm,,Factor_IX,http://www.drugs.com/cdi/coagulation-factor-ix-injection-human.html,,,,DAP000964
DB00102,Becaplermin,165101-51-9,BiotechDrug,,,,,,PA164749511,,P01127,PDGFB_HUMAN,K01401,11832,http://www.rxlist.com/cgi/generic2/becapler.htm,,Becaplermin,http://www.drugs.com/cdi/becaplermin.html,,,,DAP000028
DB00103,Agalsidase beta,104138-64-9,BiotechDrug,,,,,,PA164746527,,P06280,AGAL_HUMAN,X14448,13296; 13300,http://www.rxlist.com/cgi/generic3/fabrazyme.htm,,Agalsidase_beta,http://www.drugs.com/cdi/agalsidase-beta.html,,,,
DB00104,Octreotide,83150-76-9,SmallMoleculeDrug,C07306,D00442,,,,PA450678,,,,,1255,http://www.rxlist.com/cgi/generic/octreotide.htm,,Octreotide,http://www.drugs.com/cdi/octreotide.html,,395352,50272772,DAP000397
DB00105,"Interferon Alfa-2b, Recombinant",98530-12-2,BiotechDrug,,,,,,PA164783990,,P01563,IFNA2_HUMAN,,1751,http://www.rxlist.com/cgi/generic/introna.htm,,,,,,,DAP001285
DB00106,Abarelix,183552-38-7,BiotechDrug,,D02738,,,337298,PA164754915,,,,,"",http://www.rxlist.com/cgi/generic/plenaxis.htm,,Abarelix,http://www.drugs.com/cdi/abarelix.html,,,50102442,DAP000094
DB00107,Oxytocin,50-56-6,BiotechDrug,C00746,D00089,,,,PA450760,,,,,7375,http://www.rxlist.com/cgi/generic3/oxytocin.htm,,Oxytocin,http://www.drugs.com/cdi/oxytocin.html,,,,DAP001156
DB00108,Natalizumab,189261-10-7,BiotechDrug,,,,,,PA164747191,,,,,12577,http://www.rxlist.com/cgi/generic/tysabri.htm,,Natalizumab,http://www.drugs.com/cdi/natalizumab.html,,,,DAP001094
DB00109,Enfuvirtide,159519-65-0,BiotechDrug,,,,,,PA164744517,,Q70626,ENV_HV1LW,U12055,13031,http://www.rxlist.com/cgi/generic3/fuzeon.htm,,Enfuvirtide,http://www.drugs.com/cdi/enfuvirtide.html,,,50271301,DAP000157
DB00110,Palivizumab,188039-54-5,BiotechDrug,,,,,,PA164748781,,,,,12770,http://www.rxlist.com/cgi/generic2/palivizumab.htm,,Palivizumab,http://www.drugs.com/cdi/palivizumab.html,,,,DAP000386
DB00111,Daclizumab,152923-56-3,BiotechDrug,,,,,,PA164764446,,P01857,IGHG1_HUMAN,J00228,11957; 22834,http://www.rxlist.com/cgi/generic3/zenapax.htm,,Daclizumab,http://www.drugs.com/cdi/daclizumab.html,,,,DAP000389
DB00112,Bevacizumab,216974-75-3,BiotechDrug,,,,,,PA130232992,,,,,16200,http://www.rxlist.com/cgi/generic3/avastin.htm,,Bevacizumab,http://www.drugs.com/cdi/bevacizumab-solution.html,,,,DAP000393
DB00113,Technetium Tc-99m arcitumomab,154361-49-6,BiotechDrug,,,,,,PA164746540,,,,,"",,,Arcitumomab,,,,,DAP001303
DB00115,Cyanocobalamin,68-19-9,SmallMoleculeDrug,C02823,D00166,,,17439,PA451892,CNC,,,,781; 4821; 4991,http://www.rxlist.com/cgi/generic/b12inj.htm,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/vit_0262.shtml,Cyanocobalamin,http://www.drugs.com/cdi/cyanocobalamin-b12.html,,21864832,,
DB00116,Tetrahydrofolic acid,135-16-0,SmallMoleculeDrug,C00101,,91443,46504756,20506,PA164745110,THL,,,,"",,,Tetrahydrofolic_acid,,,82572,,DAP001308
DB00117,L-Histidine,71-00-1,SmallMoleculeDrug,C00135,D00032,,,15971,PA449882,HIS,,,,10237,,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/lhi_0137.shtml,L-Histidine,,,6038,7953,
DB00118,Ademetionine,29908-03-0,SmallMoleculeDrug,C00019,,,,67040,PA164754994,SAM,,,,"",,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/sad_0231.shtml,S-Adenosylmethionine,http://www.drugs.com/cdi/s-adenosylmethionine.html,,31982,28422,
DB00119,Pyruvic acid,127-17-3,SmallMoleculeDrug,C00022,,1060,46505692,32816,PA164778686,PYR,,,,"",,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/pyr_0218.shtml,Pyruvic_acid,,,1031,19473,DAP000543
